#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.2605, 3.575e-11, 4.184e-11, 5.846e-14, 6.855e-14
     59707.2608, 3.575e-11, 4.189e-11, 5.849e-14, 6.849e-14
     59707.2611, 3.576e-11, 4.182e-11, 5.844e-14, 6.862e-14
     59707.2614, 3.579e-11, 4.188e-11, 5.858e-14, 6.866e-14
     59707.2617, 3.579e-11, 4.186e-11, 5.859e-14, 6.847e-14
      59707.262, 3.581e-11, 4.185e-11, 5.875e-14, 6.847e-14
     59707.2623, 3.578e-11, 4.18e-11, 5.866e-14, 6.837e-14
     59707.2626, 3.581e-11, 4.177e-11, 5.876e-14, 6.822e-14
     59707.2629, 3.576e-11, 4.175e-11, 5.854e-14, 6.824e-14
     59707.2632, 3.579e-11, 4.183e-11, 5.892e-14, 6.858e-14
     59707.2635, 3.578e-11, 4.177e-11, 5.868e-14, 6.826e-14
     59707.2638, 3.576e-11, 4.178e-11, 5.848e-14, 6.832e-14
     59707.2641, 3.571e-11, 4.178e-11, 5.845e-14, 6.822e-14
     59707.2644, 3.577e-11, 4.18e-11, 5.86e-14, 6.828e-14
     59707.2647, 3.579e-11, 4.178e-11, 5.855e-14, 6.826e-14
      59707.265, 3.579e-11, 4.174e-11, 5.864e-14, 6.823e-14
     59707.2653, 3.581e-11, 4.176e-11, 5.891e-14, 6.835e-14
     59707.2656, 3.578e-11, 4.175e-11, 5.873e-14, 6.821e-14
     59707.2659, 3.581e-11, 4.18e-11, 5.866e-14, 6.947e-14
     59707.2662, 3.578e-11, 4.177e-11, 5.874e-14, 6.814e-14
     59707.3028, 3.54e-11, 4.097e-11, 5.798e-14, 6.675e-14
     59707.3031, 3.538e-11, 4.097e-11, 5.787e-14, 6.655e-14
     59707.3034, 3.538e-11, 4.097e-11, 5.785e-14, 6.673e-14
     59707.3037, 3.539e-11, 4.102e-11, 5.801e-14, 6.691e-14
      59707.304, 3.534e-11, 4.096e-11, 5.775e-14, 6.66e-14
     59707.3043, 3.537e-11, 4.097e-11, 5.793e-14, 6.67e-14
     59707.3046, 3.537e-11, 4.099e-11, 5.805e-14, 6.679e-14
     59707.3049, 3.541e-11, 4.096e-11, 5.812e-14, 6.7e-14
     59707.3052, 3.535e-11, 4.093e-11, 5.78e-14, 6.65e-14
     59707.3055, 3.538e-11, 4.093e-11, 5.799e-14, 6.651e-14
     59707.3058, 3.54e-11, 4.089e-11, 5.801e-14, 6.643e-14
     59707.3061, 3.538e-11, 4.097e-11, 5.789e-14, 6.669e-14
     59707.3064, 3.535e-11, 4.092e-11, 5.776e-14, 6.662e-14
     59707.3067, 3.534e-11, 4.091e-11, 5.773e-14, 6.657e-14
      59707.307, 3.531e-11, 4.091e-11, 5.764e-14, 6.644e-14
     59707.3073, 3.539e-11, 4.085e-11, 5.803e-14, 6.643e-14
     59707.3076, 3.538e-11, 4.086e-11, 5.795e-14, 6.616e-14
     59707.3079, 3.53e-11, 4.087e-11, 5.793e-14, 6.66e-14
     59707.3082, 3.531e-11, 4.088e-11, 5.764e-14, 6.641e-14
     59707.3085, 3.532e-11, 4.089e-11, 5.783e-14, 6.646e-14
     59707.3088, 3.531e-11, 4.086e-11, 5.795e-14, 6.683e-14
     59707.3091, 3.531e-11, 4.086e-11, 5.78e-14, 6.655e-14
     59707.3094, 3.532e-11, 4.082e-11, 6.694e-14, 6.636e-14
     59707.3097, 3.53e-11, 4.082e-11, 5.789e-14, 6.655e-14
       59707.31, 3.531e-11, 4.085e-11, 5.779e-14, 6.641e-14
     59707.3103, 3.527e-11, 4.084e-11, 5.769e-14, 6.631e-14
     59707.3106, 3.535e-11, 4.086e-11, 5.785e-14, 6.656e-14
     59707.3109, 3.525e-11, 4.08e-11, 5.766e-14, 6.616e-14
     59707.3112, 3.525e-11, 4.082e-11, 5.768e-14, 6.641e-14
     59707.3115, 3.528e-11, 4.075e-11, 5.77e-14, 6.606e-14
     59707.3118, 3.531e-11, 4.076e-11, 5.773e-14, 6.612e-14
     59707.3121, 3.522e-11, 4.08e-11, 5.754e-14, 6.654e-14
     59707.3124, 3.53e-11, 4.076e-11, 5.788e-14, 6.614e-14
     59707.3127, 3.528e-11, 4.078e-11, 5.764e-14, 6.871e-14
      59707.313, 3.528e-11, 4.08e-11, 5.781e-14, 6.655e-14
     59707.3133, 3.527e-11, 4.076e-11, 5.77e-14, 6.632e-14
     59707.3136, 3.524e-11, 4.076e-11, 5.764e-14, 6.629e-14
     59707.3139, 3.528e-11, 4.081e-11, 5.764e-14, 6.638e-14
     59707.3142, 3.525e-11, 4.08e-11, 5.753e-14, 6.635e-14
     59707.3145, 3.52e-11, 4.072e-11, 5.752e-14, 6.642e-14
     59707.3148, 3.523e-11, 4.081e-11, 5.766e-14, 6.656e-14
     59707.3152, 3.524e-11, 4.073e-11, 5.757e-14, 6.724e-14
     59707.3155, 3.525e-11, 4.075e-11, 5.896e-14, 6.637e-14
     59707.3158, 3.524e-11, 4.076e-11, 5.772e-14, 6.62e-14
     59707.3161, 3.527e-11, 4.078e-11, 5.79e-14, 6.642e-14
     59707.3164, 3.523e-11, 4.071e-11, 5.87e-14, 6.619e-14
     59707.3167, 3.519e-11, 4.069e-11, 5.764e-14, 6.613e-14
      59707.317, 3.524e-11, 4.071e-11, 5.763e-14, 6.601e-14
