#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.4504, 3.567e-11, 4.184e-11, 5.847e-14, 6.826e-14
     59707.4507, 3.57e-11, 4.183e-11, 5.866e-14, 6.818e-14
      59707.451, 3.571e-11, 4.179e-11, 5.848e-14, 6.803e-14
     59707.4513, 3.572e-11, 4.181e-11, 5.858e-14, 6.821e-14
     59707.4516, 3.569e-11, 4.181e-11, 5.85e-14, 6.837e-14
     59707.4519, 3.569e-11, 4.181e-11, 5.835e-14, 6.828e-14
     59707.4522, 3.57e-11, 4.179e-11, 5.948e-14, 6.816e-14
     59707.4525, 3.567e-11, 4.175e-11, 5.838e-14, 6.802e-14
     59707.4528, 3.568e-11, 4.181e-11, 5.844e-14, 6.815e-14
     59707.4531, 3.571e-11, 4.18e-11, 5.874e-14, 6.835e-14
     59707.4534, 3.57e-11, 4.182e-11, 5.857e-14, 6.845e-14
     59707.4537, 3.569e-11, 4.18e-11, 5.844e-14, 6.843e-14
      59707.454, 3.568e-11, 4.182e-11, 5.852e-14, 6.842e-14
     59707.4543, 3.569e-11, 4.174e-11, 5.846e-14, 6.811e-14
     59707.4546, 3.573e-11, 4.173e-11, 5.86e-14, 6.808e-14
     59707.4549, 3.567e-11, 4.173e-11, 5.845e-14, 6.814e-14
     59707.4552, 3.564e-11, 4.177e-11, 5.832e-14, 6.814e-14
     59707.4555, 3.567e-11, 4.171e-11, 5.844e-14, 6.82e-14
     59707.4558, 3.567e-11, 4.168e-11, 5.852e-14, 6.801e-14
     59707.4561, 3.57e-11, 4.176e-11, 5.852e-14, 6.823e-14
     59707.4564, 3.567e-11, 4.178e-11, 5.846e-14, 6.819e-14
     59707.4567, 3.577e-11, 4.172e-11, 5.869e-14, 6.81e-14
      59707.457, 3.57e-11, 4.171e-11, 5.859e-14, 6.83e-14
     59707.4573, 3.574e-11, 4.172e-11, 5.875e-14, 6.829e-14
     59707.4576, 3.572e-11, 4.171e-11, 5.852e-14, 6.788e-14
     59707.4579, 3.572e-11, 4.17e-11, 5.853e-14, 6.83e-14
     59707.4582, 3.571e-11, 4.167e-11, 5.853e-14, 6.805e-14
     59707.4585, 3.567e-11, 4.169e-11, 5.85e-14, 6.821e-14
     59707.4588, 3.569e-11, 4.169e-11, 5.835e-14, 6.813e-14
     59707.4591, 3.57e-11, 4.168e-11, 5.85e-14, 6.831e-14
     59707.4594, 3.573e-11, 4.167e-11, 5.886e-14, 6.828e-14
     59707.4597, 3.567e-11, 4.162e-11, 5.845e-14, 6.802e-14
       59707.46, 3.574e-11, 4.163e-11, 5.888e-14, 6.793e-14
     59707.4603, 3.571e-11, 4.169e-11, 5.868e-14, 6.838e-14
     59707.4606, 3.575e-11, 4.166e-11, 5.874e-14, 6.788e-14
     59707.4609, 3.574e-11, 4.162e-11, 5.871e-14, 7.643e-14
     59707.4612, 3.573e-11, 4.163e-11, 5.867e-14, 6.797e-14
     59707.4615, 3.576e-11, 4.165e-11, 5.871e-14, 6.832e-14
     59707.4618, 3.569e-11, 4.165e-11, 5.873e-14, 6.829e-14
     59707.4621, 3.57e-11, 4.166e-11, 5.854e-14, 6.824e-14
     59707.4624, 3.574e-11, 4.158e-11, 5.869e-14, 6.804e-14
     59707.4627, 3.57e-11, 4.156e-11, 5.855e-14, 6.787e-14
      59707.463, 3.569e-11, 4.157e-11, 5.86e-14, 6.899e-14
     59707.4633, 3.574e-11, 4.159e-11, 5.875e-14, 6.826e-14
     59707.4636, 3.573e-11, 4.161e-11, 5.884e-14, 6.832e-14
     59707.4639, 3.569e-11, 4.157e-11, 5.858e-14, 6.815e-14
     59707.4642, 3.576e-11, 4.152e-11, 5.999e-14, 6.812e-14
     59707.4645, 3.579e-11, 4.159e-11, 5.888e-14, 6.822e-14
     59707.4648, 3.574e-11, 4.153e-11, 5.852e-14, 6.792e-14
     59707.4651, 3.569e-11, 4.153e-11, 5.841e-14, 6.798e-14
     59707.4654, 3.569e-11, 4.155e-11, 5.856e-14, 6.81e-14
     59707.5031, 3.548e-11, 4.019e-11, 5.81e-14, 6.596e-14
     59707.5034, 3.55e-11, 4.02e-11, 5.831e-14, 6.57e-14
     59707.5037, 3.548e-11, 4.023e-11, 5.822e-14, 6.583e-14
      59707.504, 3.551e-11, 4.023e-11, 5.827e-14, 6.578e-14
     59707.5043, 3.552e-11, 4.019e-11, 5.819e-14, 6.598e-14
     59707.5046, 3.547e-11, 4.024e-11, 5.802e-14, 6.583e-14
     59707.5049, 3.549e-11, 4.021e-11, 5.837e-14, 6.597e-14
     59707.5052, 3.556e-11, 4.021e-11, 5.844e-14, 6.589e-14
     59707.5055, 3.554e-11, 4.014e-11, 5.835e-14, 6.547e-14
     59707.5058, 3.553e-11, 4.024e-11, 5.853e-14, 6.606e-14
     59707.5061, 3.551e-11, 4.028e-11, 5.822e-14, 6.599e-14
     59707.5064, 3.553e-11, 4.017e-11, 5.825e-14, 6.557e-14
     59707.5067, 3.548e-11, 4.015e-11, 5.813e-14, 6.558e-14
      59707.507, 3.552e-11, 4.021e-11, 5.836e-14, 6.58e-14
     59707.5073, 3.551e-11, 4.018e-11, 5.822e-14, 6.565e-14
     59707.5076, 3.55e-11, 4.02e-11, 5.823e-14, 6.585e-14
     59707.5079, 3.551e-11, 4.021e-11, 5.824e-14, 6.585e-14
     59707.5082, 3.549e-11, 4.018e-11, 5.822e-14, 6.57e-14
     59707.5085, 3.548e-11, 4.015e-11, 5.817e-14, 6.554e-14
     59707.5088, 3.552e-11, 4.019e-11, 5.821e-14, 6.603e-14
     59707.5091, 3.548e-11, 4.024e-11, 5.817e-14, 6.622e-14
     59707.5094, 3.548e-11, 4.014e-11, 5.823e-14, 6.562e-14
     59707.5097, 3.548e-11, 4.018e-11, 5.83e-14, 6.572e-14
       59707.51, 3.542e-11, 4.015e-11, 5.799e-14, 6.573e-14
     59707.5103, 3.544e-11, 4.014e-11, 5.814e-14, 6.562e-14
     59707.5106, 3.542e-11, 4.009e-11, 5.798e-14, 6.537e-14
     59707.5109, 3.546e-11, 4.011e-11, 5.822e-14, 6.551e-14
     59707.5112, 3.548e-11, 4.016e-11, 5.807e-14, 6.549e-14
     59707.5115, 3.547e-11, 4.012e-11, 5.837e-14, 6.544e-14
     59707.5118, 3.544e-11, 4.017e-11, 5.796e-14, 6.569e-14
     59707.5121, 3.547e-11, 4.013e-11, 5.827e-14, 6.556e-14
     59707.5124, 3.548e-11, 4.011e-11, 5.815e-14, 6.566e-14
     59707.5127, 3.544e-11, 4.013e-11, 5.818e-14, 6.568e-14
      59707.513, 3.544e-11, 4.013e-11, 5.809e-14, 6.559e-14
     59707.5133, 3.545e-11, 4.011e-11, 5.816e-14, 6.569e-14
     59707.5136, 3.545e-11, 4.013e-11, 5.821e-14, 6.567e-14
     59707.5139, 3.545e-11, 4.015e-11, 5.786e-14, 7.801e-14
     59707.5142, 3.549e-11, 4.011e-11, 5.823e-14, 6.556e-14
     59707.5145, 3.54e-11, 4.008e-11, 5.792e-14, 6.543e-14
     59707.5148, 3.545e-11, 4.007e-11, 5.798e-14, 6.55e-14
     59707.5152, 3.546e-11, 4.011e-11, 5.812e-14, 6.553e-14
     59707.5155, 3.548e-11, 4.011e-11, 5.83e-14, 6.558e-14
     59707.5158, 3.545e-11, 4.013e-11, 5.835e-14, 6.567e-14
     59707.5161, 3.541e-11, 4.011e-11, 5.792e-14, 6.556e-14
     59707.5164, 3.545e-11, 4.011e-11, 5.822e-14, 6.567e-14
     59707.5167, 3.542e-11, 4.009e-11, 5.807e-14, 6.563e-14
      59707.517, 3.538e-11, 4.011e-11, 5.798e-14, 6.565e-14
     59707.5173, 3.539e-11, 4.013e-11, 5.78e-14, 6.567e-14
     59707.5176, 3.541e-11, 4.009e-11, 5.811e-14, 6.531e-14
     59707.5179, 3.539e-11, 4.01e-11, 5.808e-14, 6.57e-14
     59707.5182, 3.547e-11, 4.012e-11, 5.817e-14, 6.556e-14
     59707.5185, 3.541e-11, 4.015e-11, 5.799e-14, 6.582e-14
     59707.5188, 3.542e-11, 4.013e-11, 5.806e-14, 7.404e-14
     59707.5191, 3.546e-11, 4.01e-11, 5.836e-14, 6.556e-14
     59707.5194, 3.543e-11, 4.013e-11, 5.819e-14, 6.564e-14
     59707.5197, 3.543e-11, 4.015e-11, 5.839e-14, 6.566e-14
       59707.52, 3.544e-11, 4.014e-11, 5.814e-14, 6.58e-14
     59707.5203, 3.543e-11, 4.007e-11, 5.815e-14, 6.576e-14
     59707.5206, 3.542e-11, 4.014e-11, 5.805e-14, 6.575e-14
     59707.5209, 3.547e-11, 4.013e-11, 5.816e-14, 6.578e-14
     59707.5212, 3.542e-11, 4.016e-11, 5.817e-14, 6.571e-14
     59707.5215, 3.545e-11, 4.011e-11, 5.837e-14, 6.55e-14
     59707.5218, 3.545e-11, 4.014e-11, 5.81e-14, 6.586e-14
     59707.5221, 3.546e-11, 4.012e-11, 5.82e-14, 6.566e-14
     59707.5224, 3.542e-11, 4.012e-11, 5.88e-14, 6.553e-14
     59707.5227, 3.547e-11, 4.017e-11, 5.826e-14, 6.583e-14
      59707.523, 3.547e-11, 4.01e-11, 5.829e-14, 6.56e-14
     59707.5233, 3.547e-11, 4.014e-11, 5.832e-14, 6.574e-14
     59707.5236, 3.547e-11, 4.014e-11, 5.825e-14, 6.57e-14
     59707.5239, 3.549e-11, 4.015e-11, 5.834e-14, 6.604e-14
     59707.5242, 3.548e-11, 4.015e-11, 5.83e-14, 6.57e-14
     59707.5245, 3.547e-11, 4.012e-11, 6.659e-14, 6.566e-14
     59707.5248, 3.547e-11, 4.015e-11, 5.833e-14, 6.565e-14
     59707.5251, 3.551e-11, 4.02e-11, 5.845e-14, 6.585e-14
     59707.5254, 3.548e-11, 4.017e-11, 5.827e-14, 6.589e-14
     59707.5257, 3.55e-11, 4.016e-11, 5.827e-14, 6.576e-14
      59707.526, 3.551e-11, 4.019e-11, 5.852e-14, 6.612e-14
     59707.5263, 3.548e-11, 4.022e-11, 5.828e-14, 6.612e-14
     59707.5266, 3.55e-11, 4.02e-11, 5.825e-14, 6.599e-14
     59707.5269, 3.546e-11, 4.02e-11, 5.817e-14, 6.588e-14
     59707.5272, 3.549e-11, 4.02e-11, 5.843e-14, 6.591e-14
     59707.5275, 3.55e-11, 4.019e-11, 5.833e-14, 6.606e-14
     59707.5719, 3.573e-11, 3.988e-11, 5.85e-14, 6.515e-14
     59707.5722, 3.574e-11, 3.991e-11, 5.826e-14, 6.54e-14
     59707.5725, 3.577e-11, 3.991e-11, 5.838e-14, 6.521e-14
     59707.5728, 3.58e-11, 3.989e-11, 5.851e-14, 6.503e-14
     59707.5731, 3.583e-11, 3.991e-11, 5.874e-14, 6.512e-14
     59707.5734, 3.581e-11, 3.984e-11, 5.849e-14, 6.51e-14
     59707.5737, 3.58e-11, 3.994e-11, 5.843e-14, 6.524e-14
      59707.574, 3.58e-11, 3.991e-11, 5.845e-14, 6.524e-14
     59707.5743, 3.578e-11, 3.99e-11, 5.872e-14, 6.506e-14
     59707.5746, 3.579e-11, 3.987e-11, 5.872e-14, 6.492e-14
     59707.5749, 3.581e-11, 3.989e-11, 5.844e-14, 6.516e-14
     59707.5752, 3.583e-11, 3.989e-11, 5.853e-14, 6.501e-14
     59707.5755, 3.583e-11, 3.994e-11, 5.844e-14, 6.534e-14
     59707.5758, 3.583e-11, 3.995e-11, 5.85e-14, 6.504e-14
     59707.5761, 3.587e-11, 3.997e-11, 5.871e-14, 6.547e-14
     59707.5764, 3.584e-11, 3.994e-11, 5.9e-14, 6.515e-14
     59707.5767, 3.58e-11, 3.995e-11, 5.846e-14, 6.523e-14
      59707.577, 3.581e-11, 3.994e-11, 5.833e-14, 6.518e-14
     59707.5773, 3.583e-11, 4e-11, 5.848e-14, 6.538e-14
     59707.5776, 3.588e-11, 3.994e-11, 5.862e-14, 6.518e-14
     59707.5779, 3.584e-11, 3.993e-11, 5.854e-14, 6.512e-14
     59707.5782, 3.583e-11, 3.999e-11, 5.852e-14, 6.514e-14
     59707.5785, 3.589e-11, 3.994e-11, 5.865e-14, 6.5e-14
     59707.5788, 3.582e-11, 3.998e-11, 5.846e-14, 6.541e-14
     59707.5791, 3.585e-11, 4e-11, 5.846e-14, 6.528e-14
     59707.5794, 3.582e-11, 3.997e-11, 5.847e-14, 6.527e-14
     59707.5797, 3.584e-11, 4e-11, 5.867e-14, 6.53e-14
       59707.58, 3.583e-11, 3.999e-11, 5.853e-14, 6.512e-14
     59707.5803, 3.591e-11, 4.001e-11, 5.922e-14, 6.53e-14
     59707.5806, 3.587e-11, 4.003e-11, 5.844e-14, 6.526e-14
     59707.5809, 3.585e-11, 4.004e-11, 5.841e-14, 6.537e-14
     59707.5812, 3.591e-11, 4.005e-11, 5.875e-14, 6.539e-14
     59707.5815, 3.588e-11, 4.003e-11, 5.841e-14, 6.546e-14
     59707.5818, 3.588e-11, 4.007e-11, 5.848e-14, 6.546e-14
     59707.5821, 3.588e-11, 4.009e-11, 5.86e-14, 6.56e-14
     59707.5824, 3.595e-11, 4.008e-11, 5.867e-14, 6.557e-14
     59707.5827, 3.591e-11, 4.001e-11, 5.868e-14, 6.509e-14
      59707.583, 3.588e-11, 4.003e-11, 5.844e-14, 6.524e-14
     59707.5833, 3.587e-11, 4.005e-11, 5.841e-14, 6.54e-14
     59707.5836, 3.592e-11, 4.005e-11, 5.865e-14, 6.541e-14
     59707.5839, 3.592e-11, 4.011e-11, 5.868e-14, 6.574e-14
     59707.5842, 3.594e-11, 4.006e-11, 5.876e-14, 6.536e-14
     59707.5845, 3.592e-11, 4.012e-11, 5.865e-14, 6.554e-14
     59707.5848, 3.597e-11, 4.014e-11, 5.87e-14, 6.563e-14
     59707.5852, 3.593e-11, 4.009e-11, 5.884e-14, 6.542e-14
     59707.5855, 3.592e-11, 4.015e-11, 5.854e-14, 6.568e-14
     59707.5858, 3.595e-11, 4.015e-11, 5.862e-14, 6.562e-14
     59707.5861, 3.59e-11, 4.008e-11, 5.839e-14, 6.532e-14
     59707.5864, 3.598e-11, 4.014e-11, 5.876e-14, 6.563e-14
     59707.5867, 3.599e-11, 4.008e-11, 5.882e-14, 6.527e-14
      59707.587, 3.597e-11, 4.014e-11, 5.863e-14, 6.556e-14
     59707.5873, 3.6e-11, 4.014e-11, 5.87e-14, 6.568e-14
     59707.5876, 3.596e-11, 4.015e-11, 5.864e-14, 6.574e-14
     59707.5879, 3.598e-11, 4.014e-11, 5.874e-14, 6.558e-14
     59707.5882, 3.601e-11, 4.015e-11, 5.884e-14, 6.545e-14
     59707.5885, 3.598e-11, 4.02e-11, 5.872e-14, 6.555e-14
     59707.5888, 3.603e-11, 4.017e-11, 5.935e-14, 6.578e-14
     59707.5891, 3.599e-11, 4.019e-11, 5.869e-14, 6.546e-14
     59707.5894, 3.603e-11, 4.014e-11, 5.892e-14, 6.557e-14
     59707.5897, 3.605e-11, 4.018e-11, 5.89e-14, 6.562e-14
       59707.59, 3.602e-11, 4.019e-11, 5.876e-14, 6.565e-14
     59707.5903, 3.602e-11, 4.024e-11, 5.886e-14, 6.577e-14
     59707.5906, 3.601e-11, 4.02e-11, 5.887e-14, 6.562e-14
     59707.5909, 3.608e-11, 4.023e-11, 5.895e-14, 6.573e-14
     59707.5912, 3.61e-11, 4.029e-11, 5.905e-14, 6.602e-14
     59707.5915, 3.605e-11, 4.023e-11, 5.886e-14, 6.57e-14
     59707.5918, 3.614e-11, 4.034e-11, 5.913e-14, 6.617e-14
     59707.5921, 3.608e-11, 4.029e-11, 5.891e-14, 6.598e-14
     59707.5924, 3.608e-11, 4.033e-11, 5.893e-14, 6.596e-14
     59707.5927, 3.61e-11, 4.032e-11, 5.913e-14, 6.626e-14
      59707.593, 3.611e-11, 4.034e-11, 5.9e-14, 6.608e-14
     59707.5933, 3.607e-11, 4.032e-11, 5.884e-14, 6.611e-14
     59707.5936, 3.614e-11, 4.033e-11, 5.917e-14, 6.593e-14
     59707.5939, 3.609e-11, 4.032e-11, 5.904e-14, 6.612e-14
     59707.5942, 3.611e-11, 4.038e-11, 5.907e-14, 6.626e-14
     59707.5945, 3.614e-11, 4.03e-11, 5.911e-14, 6.595e-14
     59707.5948, 3.613e-11, 4.033e-11, 5.908e-14, 6.595e-14
     59707.5951, 3.612e-11, 4.041e-11, 5.904e-14, 6.625e-14
     59707.5954, 3.615e-11, 4.039e-11, 5.969e-14, 6.63e-14
     59707.5957, 3.615e-11, 4.033e-11, 5.895e-14, 6.61e-14
      59707.596, 3.616e-11, 4.041e-11, 5.906e-14, 6.636e-14
     59707.5963, 3.617e-11, 4.044e-11, 5.91e-14, 6.626e-14
     59707.5966, 3.615e-11, 4.044e-11, 5.912e-14, 6.618e-14
     59707.5969, 3.615e-11, 4.041e-11, 5.89e-14, 6.615e-14
     59707.5972, 3.624e-11, 4.046e-11, 5.934e-14, 6.63e-14
     59707.5975, 3.621e-11, 4.042e-11, 5.926e-14, 6.635e-14
     59707.5978, 3.619e-11, 4.042e-11, 5.916e-14, 6.617e-14
     59707.5981, 3.62e-11, 4.044e-11, 5.919e-14, 6.609e-14
     59707.5984, 3.621e-11, 4.047e-11, 5.916e-14, 6.635e-14
     59707.5987, 3.619e-11, 4.045e-11, 5.916e-14, 6.635e-14
      59707.599, 3.62e-11, 4.048e-11, 5.93e-14, 6.631e-14
     59707.5993, 3.617e-11, 4.045e-11, 5.921e-14, 6.62e-14
     59707.5996, 3.619e-11, 4.057e-11, 5.921e-14, 6.686e-14
     59707.5999, 3.618e-11, 4.053e-11, 5.913e-14, 6.645e-14
     59707.6002, 3.623e-11, 4.048e-11, 5.933e-14, 6.637e-14
     59707.6005, 3.62e-11, 4.05e-11, 5.927e-14, 6.647e-14
     59707.6008, 3.627e-11, 4.055e-11, 5.936e-14, 6.664e-14
     59707.6011, 3.622e-11, 4.056e-11, 5.921e-14, 6.655e-14
     59707.6014, 3.627e-11, 4.053e-11, 5.932e-14, 6.628e-14
     59707.6017, 3.625e-11, 4.054e-11, 5.926e-14, 6.646e-14
     59707.6398, 3.635e-11, 4.13e-11, 5.945e-14, 6.763e-14
     59707.6401, 3.631e-11, 4.127e-11, 5.926e-14, 6.753e-14
     59707.6404, 3.637e-11, 4.132e-11, 5.941e-14, 6.763e-14
     59707.6407, 3.639e-11, 4.13e-11, 5.945e-14, 6.766e-14
      59707.641, 3.637e-11, 4.135e-11, 5.946e-14, 6.771e-14
     59707.6413, 3.637e-11, 4.132e-11, 5.949e-14, 6.769e-14
     59707.6416, 3.636e-11, 4.132e-11, 5.953e-14, 6.749e-14
     59707.6419, 3.632e-11, 4.133e-11, 5.939e-14, 6.764e-14
     59707.6422, 3.636e-11, 4.135e-11, 5.939e-14, 6.757e-14
     59707.6425, 3.632e-11, 4.132e-11, 5.937e-14, 6.75e-14
     59707.6428, 3.634e-11, 4.135e-11, 5.931e-14, 6.763e-14
     59707.6431, 3.628e-11, 4.133e-11, 5.924e-14, 6.727e-14
     59707.6434, 3.635e-11, 4.133e-11, 5.934e-14, 6.759e-14
     59707.6437, 3.634e-11, 4.135e-11, 5.954e-14, 6.767e-14
      59707.644, 3.632e-11, 4.137e-11, 5.931e-14, 6.785e-14
     59707.6443, 3.633e-11, 4.135e-11, 5.938e-14, 6.764e-14
     59707.6446, 3.637e-11, 4.138e-11, 5.961e-14, 6.789e-14
     59707.6449, 3.632e-11, 4.137e-11, 5.934e-14, 6.778e-14
     59707.6452, 3.628e-11, 4.139e-11, 5.902e-14, 6.769e-14
     59707.6455, 3.631e-11, 4.136e-11, 5.921e-14, 6.785e-14
     59707.6458, 3.627e-11, 4.134e-11, 5.923e-14, 6.757e-14
     59707.6461, 3.633e-11, 4.139e-11, 5.939e-14, 6.761e-14
     59707.6464, 3.64e-11, 4.137e-11, 5.951e-14, 6.776e-14
     59707.6467, 3.629e-11, 4.134e-11, 6.214e-14, 6.762e-14
      59707.647, 3.639e-11, 4.134e-11, 5.961e-14, 6.774e-14
     59707.6473, 3.636e-11, 4.13e-11, 5.937e-14, 6.754e-14
     59707.6476, 3.634e-11, 4.134e-11, 5.929e-14, 6.765e-14
     59707.6479, 3.634e-11, 4.141e-11, 5.956e-14, 6.789e-14
     59707.6482, 3.637e-11, 4.132e-11, 5.945e-14, 6.762e-14
     59707.6485, 3.629e-11, 4.135e-11, 5.921e-14, 6.776e-14
     59707.6488, 3.632e-11, 4.132e-11, 5.918e-14, 6.753e-14
     59707.6491, 3.633e-11, 4.137e-11, 5.933e-14, 6.763e-14
     59707.6494, 3.636e-11, 4.134e-11, 5.948e-14, 6.774e-14
     59707.6497, 3.631e-11, 4.141e-11, 5.939e-14, 6.795e-14
       59707.65, 3.628e-11, 4.139e-11, 5.933e-14, 6.795e-14
     59707.6503, 3.628e-11, 4.137e-11, 5.924e-14, 7.606e-14
     59707.6506, 3.626e-11, 4.138e-11, 5.93e-14, 6.782e-14
     59707.6509, 3.63e-11, 4.135e-11, 5.925e-14, 6.776e-14
     59707.6512, 3.628e-11, 4.136e-11, 5.923e-14, 6.787e-14
     59707.6515, 3.626e-11, 4.132e-11, 5.923e-14, 6.758e-14
     59707.6518, 3.63e-11, 4.134e-11, 5.927e-14, 6.784e-14
     59707.6521, 3.632e-11, 4.136e-11, 5.934e-14, 6.782e-14
     59707.6524, 3.633e-11, 4.132e-11, 5.952e-14, 6.794e-14
     59707.6527, 3.627e-11, 4.129e-11, 5.918e-14, 6.748e-14
      59707.653, 3.628e-11, 4.133e-11, 5.94e-14, 6.76e-14
     59707.6533, 3.633e-11, 4.13e-11, 5.942e-14, 6.773e-14
     59707.6536, 3.634e-11, 4.128e-11, 5.948e-14, 6.755e-14
     59707.6539, 3.629e-11, 4.128e-11, 5.936e-14, 6.77e-14
     59707.6542, 3.628e-11, 4.135e-11, 5.928e-14, 6.79e-14
     59707.6545, 3.631e-11, 4.129e-11, 5.95e-14, 6.774e-14
     59707.6548, 3.632e-11, 4.136e-11, 5.938e-14, 6.773e-14
     59707.6551, 3.633e-11, 4.134e-11, 5.939e-14, 6.782e-14
     59707.6554, 3.629e-11, 4.132e-11, 5.929e-14, 6.767e-14
     59707.6557, 3.63e-11, 4.127e-11, 5.931e-14, 6.758e-14
      59707.656, 3.629e-11, 4.127e-11, 5.937e-14, 6.758e-14
     59707.6563, 3.637e-11, 4.132e-11, 5.936e-14, 6.777e-14
     59707.6566, 3.636e-11, 4.126e-11, 5.947e-14, 6.763e-14
     59707.6569, 3.631e-11, 4.125e-11, 5.924e-14, 6.77e-14
     59707.6572, 3.626e-11, 4.126e-11, 5.925e-14, 6.773e-14
     59707.6575, 3.632e-11, 4.121e-11, 5.937e-14, 6.757e-14
     59707.6578, 3.635e-11, 4.128e-11, 5.955e-14, 6.786e-14
     59707.6581, 3.633e-11, 4.119e-11, 5.939e-14, 6.751e-14
     59707.6584, 3.632e-11, 4.125e-11, 5.954e-14, 6.785e-14
     59707.6587, 3.633e-11, 4.119e-11, 5.942e-14, 6.75e-14
      59707.659, 3.637e-11, 4.124e-11, 5.972e-14, 6.894e-14
     59707.6593, 3.632e-11, 4.118e-11, 5.952e-14, 6.755e-14
     59707.6596, 3.634e-11, 4.114e-11, 5.955e-14, 6.753e-14
     59707.6599, 3.631e-11, 4.114e-11, 5.933e-14, 6.758e-14
     59707.6602, 3.63e-11, 4.117e-11, 5.945e-14, 6.763e-14
     59707.6605, 3.629e-11, 4.12e-11, 5.938e-14, 6.799e-14
     59707.6608, 3.631e-11, 4.112e-11, 5.949e-14, 6.761e-14
     59707.6611, 3.636e-11, 4.117e-11, 5.949e-14, 6.78e-14
     59707.6614, 3.636e-11, 4.11e-11, 5.966e-14, 6.743e-14
     59707.6617, 3.627e-11, 4.111e-11, 5.925e-14, 6.751e-14
      59707.662, 3.629e-11, 4.109e-11, 5.938e-14, 6.743e-14
     59707.6623, 3.633e-11, 4.105e-11, 5.952e-14, 6.748e-14
     59707.6627, 3.633e-11, 4.104e-11, 5.957e-14, 6.73e-14
      59707.663, 3.63e-11, 4.109e-11, 5.93e-14, 6.748e-14
     59707.6633, 3.637e-11, 4.105e-11, 5.964e-14, 6.756e-14
     59707.6636, 3.63e-11, 4.101e-11, 5.952e-14, 6.741e-14
     59707.6639, 3.631e-11, 4.103e-11, 5.943e-14, 6.73e-14
     59707.6642, 3.632e-11, 4.101e-11, 5.961e-14, 6.736e-14
     59707.6645, 3.63e-11, 4.099e-11, 5.937e-14, 6.745e-14
     59707.6648, 3.622e-11, 4.09e-11, 5.919e-14, 6.707e-14
     59707.6651, 3.627e-11, 4.092e-11, 5.946e-14, 6.716e-14
     59707.6654, 3.633e-11, 4.098e-11, 5.965e-14, 6.752e-14
     59707.6657, 3.63e-11, 4.092e-11, 5.956e-14, 6.728e-14
      59707.666, 3.626e-11, 4.091e-11, 5.927e-14, 6.748e-14
     59707.6663, 3.629e-11, 4.086e-11, 5.943e-14, 6.707e-14
     59707.6666, 3.629e-11, 4.088e-11, 5.939e-14, 6.743e-14
     59707.6669, 3.632e-11, 4.084e-11, 5.961e-14, 6.701e-14
     59707.6672, 3.627e-11, 4.085e-11, 5.937e-14, 6.712e-14
     59707.6675, 3.631e-11, 4.078e-11, 5.951e-14, 6.697e-14
     59707.6678, 3.627e-11, 4.085e-11, 5.943e-14, 6.744e-14
     59707.6681, 3.623e-11, 4.079e-11, 5.921e-14, 6.695e-14
     59707.6684, 3.626e-11, 4.077e-11, 5.948e-14, 6.708e-14
     59707.6687, 3.628e-11, 4.072e-11, 5.939e-14, 6.713e-14
      59707.669, 3.628e-11, 4.071e-11, 5.983e-14, 6.707e-14
     59707.6693, 3.625e-11, 4.071e-11, 5.927e-14, 6.693e-14
     59707.6696, 3.626e-11, 4.067e-11, 5.936e-14, 6.687e-14
     59707.7062, 3.589e-11, 3.918e-11, 5.864e-14, 6.428e-14
     59707.7065, 3.587e-11, 3.923e-11, 5.864e-14, 6.427e-14
     59707.7068, 3.596e-11, 3.917e-11, 5.889e-14, 6.415e-14
     59707.7071, 3.592e-11, 3.92e-11, 5.87e-14, 6.415e-14
     59707.7074, 3.596e-11, 3.918e-11, 5.891e-14, 6.419e-14
     59707.7077, 3.594e-11, 3.925e-11, 5.863e-14, 6.438e-14
      59707.708, 3.594e-11, 3.921e-11, 5.864e-14, 6.413e-14
     59707.7083, 3.591e-11, 3.919e-11, 5.864e-14, 6.414e-14
     59707.7086, 3.596e-11, 3.92e-11, 5.876e-14, 6.402e-14
     59707.7089, 3.594e-11, 3.924e-11, 5.859e-14, 6.445e-14
     59707.7092, 3.59e-11, 3.924e-11, 5.868e-14, 6.442e-14
     59707.7095, 3.597e-11, 3.921e-11, 5.87e-14, 6.425e-14
     59707.7098, 3.592e-11, 3.915e-11, 5.865e-14, 6.409e-14
     59707.7101, 3.592e-11, 3.922e-11, 5.862e-14, 6.431e-14
     59707.7104, 3.592e-11, 3.92e-11, 5.868e-14, 6.427e-14
     59707.7107, 3.596e-11, 3.925e-11, 5.886e-14, 6.602e-14
      59707.711, 3.592e-11, 3.916e-11, 5.852e-14, 6.397e-14
     59707.7113, 3.591e-11, 3.925e-11, 5.872e-14, 6.435e-14
     59707.7116, 3.592e-11, 3.927e-11, 5.857e-14, 6.445e-14
     59707.7119, 3.588e-11, 3.925e-11, 5.867e-14, 6.426e-14
     59707.7122, 3.593e-11, 3.93e-11, 5.874e-14, 6.442e-14
     59707.7125, 3.591e-11, 3.923e-11, 5.864e-14, 6.405e-14
     59707.7128, 3.594e-11, 3.926e-11, 5.889e-14, 6.408e-14
     59707.7131, 3.591e-11, 3.929e-11, 5.86e-14, 6.425e-14
     59707.7134, 3.597e-11, 3.93e-11, 5.87e-14, 6.442e-14
