TIME,PSF_FLUX_NORM,PSF_EFLUX,X_POSITION,Y_POSITION,DQUALITY
2283.749439421,0.9913072607514885,0.0465914412553199,540.1823,156.2501,0
2283.75638401,1.0024641517595525,0.0471158151326989,540.1828,156.2509,0
2283.7633286,1.00525663241972,0.0472470617237268,540.1841,156.2509,0
2283.77027319,1.0041144457994302,0.0471933789525732,540.1835,156.2509,0
2283.77721778,1.020517393500215,0.0479643174945101,540.1832,156.2485,0
2283.784162369,1.0035122333707434,0.0471650749684249,540.1816,156.2497,0
2283.791106959,1.019819704946988,0.0479315261325084,540.1834,156.251,0
2283.798051548,1.0077902842176922,0.0473661433582315,540.1826,156.2511,0
2283.804996138,0.9985685209195596,0.0469327204832193,540.1839,156.2506,0
2283.811940727,1.0211421501798987,0.0479936810584552,540.1815,156.2508,0
2283.818885317,1.0165909312342918,0.0477797737680117,540.1825,156.2481,0
2283.825829906,1.0083623904603558,0.0473930323516367,540.1817,156.2511,0
2283.832774495,1.0154609221076336,0.0477266633390587,540.1818,156.2493,0
2283.839719084,1.0011342587232597,0.0470533101599932,540.1839,156.2523,0
2283.846663674,1.0027049228520943,0.0471271313740484,540.182,156.2502,0
2283.853608263,0.9902718440917476,0.0465427766723121,540.1819,156.2522,0
2283.860552852,0.9664777920169972,0.0454244562247988,540.1818,156.2481,0
2283.867497441,0.9534339211653796,0.0448113942947728,540.1837,156.2529,0
2283.87444203,0.9677918737399,0.0454862180657753,540.1819,156.2502,0
2283.881386619,0.9551690179361776,0.0448929438430003,540.1815,156.2484,0
2283.888331208,0.9637067905260204,0.0452942191547229,540.1822,156.2511,0
2283.895275797,0.9606314108352216,0.0451496763092554,540.1822,156.2504,0
2283.902220388,0.9632505621674966,0.0452727764218723,540.1828,156.2502,0
2283.909164977,0.9751631894809808,0.045832669905606,540.1824,156.2492,0
2283.916109565,0.9853575830381128,0.0463118064027913,540.1826,156.2496,0
2283.923054154,0.9822843009921388,0.0461673621466305,540.1824,156.2506,0
2283.929998743,0.9827198560493088,0.0461878332343175,540.1826,156.251,0
2283.936943332,1.0045714218503063,0.0472148568269644,540.182,156.2492,0
2283.94388792,1.0063979770830258,0.0473007049229022,540.1831,156.2501,0
2283.950832508,1.0162994326805443,0.0477660733359855,540.1818,156.2502,0
2283.957777097,1.0225178051749124,0.0480583368432208,540.182,156.2506,0
2283.964721685,1.0080558891307256,0.0473786267891441,540.1829,156.2506,0
2283.971666274,1.0178312651462322,0.0478380694618729,540.1826,156.2502,0
2283.978610862,1.010756826430865,0.0475055708422506,540.1815,156.2499,0
2283.98555545,1.0292360067555977,0.048374092317513,540.181,156.2505,0
2283.992500039,1.011411881431835,0.0475363584272962,540.1819,156.2501,0
2283.999444627,1.0172461881873949,0.0478105708448075,540.1806,156.2503,0
2284.006389215,0.9960552368266916,0.0468145961308545,540.182,156.2508,0
2284.013333803,0.9972474147984456,0.0468706284955269,540.1815,156.2493,0
2284.020278391,1.006652580459787,0.0473126712816099,540.1823,156.2522,0
2284.027222979,1.015070380011156,0.0477083078605243,540.1827,156.2499,0
2284.034167567,0.9996339908417028,0.04698279756956,540.1814,156.2496,0
2284.041112155,1.0053441592478518,0.047251175484649,540.1818,156.2514,0
2284.048056743,1.0020956920902722,0.0470984975282427,540.1816,156.2504,0
2284.055001331,1.0047304006831153,0.0472223288321064,540.1802,156.2495,0
2284.061945919,0.9758560953652584,0.0458652364821671,540.1809,156.2504,0
2284.068890506,0.9783359561095832,0.0459817899371504,540.1829,156.2506,0
2284.075835094,0.9648536212159576,0.04534812019715,540.1818,156.2512,0
2284.082779682,0.954725826996706,0.0448721138688451,540.1818,156.2484,0
2284.089724269,0.9652216511979184,0.0453654176063021,540.1832,156.2515,0
2284.096668857,0.9509566048144658,0.0446949604262798,540.1808,156.2489,0
2284.103613444,0.9529905697865,0.0447905567799655,540.1812,156.2507,0
2284.110558032,0.9748658994404276,0.0458186972737,540.1815,156.2492,0
2284.117502619,0.9705603006157616,0.0456163341289407,540.1808,156.2499,0
2284.124447207,0.9752399131999718,0.0458362759203986,540.1817,156.2511,0
2284.131391794,0.9946333182503349,0.0467477659577657,540.1805,156.2504,0
2284.138336381,0.9938531879882408,0.0467110998354473,540.1817,156.25,0
2284.145280968,1.0036284391869423,0.0471705366417862,540.1818,156.25,0
2284.152225556,1.0134418142168184,0.0476317652681904,540.1818,156.2509,0
2284.159170143,1.0087755769010265,0.0474124521143482,540.1813,156.2483,0
2284.16611473,1.0351976254764728,0.0486542883973942,540.1814,156.2506,0
2284.173059317,1.0338058065901576,0.0485888729097374,540.1811,156.2513,0
2284.180003904,1.0403394206846222,0.0488959527721772,540.1809,156.2493,0
2284.186948491,1.0120965096696992,0.0475685359544758,540.181,156.2501,0
2284.193893078,1.0226649679045043,0.0480652534915117,540.1812,156.25,0
2284.200837665,1.0208808638343714,0.0479814006002154,540.1822,156.2504,0
2284.207782251,1.0323059419519292,0.0485183792717406,540.1812,156.2505,0
2284.214726838,0.9993488640554598,0.0469693966106066,540.1813,156.2501,0
2284.221671425,1.0039032198150477,0.0471834513313072,540.1808,156.249,0
2284.228616011,0.99837999702071,0.0469238598599733,540.1795,156.2499,0
2284.235560598,1.0163918527389098,0.0477704170787287,540.1804,156.2493,0
2284.242505185,1.0244589080345974,0.048149568677626,540.1812,156.2518,0
2284.249449771,1.0102541220837369,0.0474819437379356,540.1822,156.2503,0
2284.256394358,0.9974767168319472,0.0468814056911015,540.1812,156.2494,0
2284.263338944,1.0147057821560117,0.0476911717613325,540.1804,156.2486,0
2284.270283531,0.9870415778454508,0.0463909541587361,540.1813,156.2521,0
2284.277228117,0.9933591469155664,0.0466878799050316,540.1802,156.2495,0
2284.284172703,0.9676096415411252,0.0454776531524328,540.1813,156.2499,0
2284.291117289,0.9778466204927728,0.0459587911631603,540.1796,156.2505,0
2284.298061876,0.9723629782267746,0.0457010599766584,540.1813,156.2507,0
2284.305006462,0.9744777762822968,0.0458004554852679,540.1804,156.2491,0
2284.311951048,0.9798934871518608,0.0460549938961374,540.1802,156.2493,0
2284.318895634,0.9831978929151952,0.0462103009670141,540.1821,156.2518,0
2284.32584022,0.9939965731441054,0.0467178389377729,540.1805,156.25,0
2284.332784806,0.99018917714889,0.0465388913259978,540.1805,156.2501,0
2284.339729392,0.9942491655074908,0.046729710778852,540.181,156.2493,0
2284.346673978,1.0135718191763905,0.0476378755012903,540.1802,156.2497,0
2284.353618563,1.0146184962721028,0.0476870693247888,540.1803,156.2498,0
2284.360563149,1.0034792005424753,0.0471635224254963,540.1796,156.2499,0
2284.367507735,1.0196241356230331,0.0479223343742825,540.1807,156.2506,0
2284.374452321,1.0327964753791647,0.0485414343428207,540.1813,156.2502,0
2284.381396906,1.026333354514879,0.0482376676621993,540.1805,156.2484,0
2284.388341492,1.0378285534857297,0.0487779420138293,540.1801,156.2512,0
2284.395286078,1.0342863643570048,0.0486114591247792,540.1812,156.2496,0
2284.402230663,1.0200363373085184,0.0479417078535003,540.1795,156.2486,0
2284.409175248,1.020365164190015,0.0479571627169307,540.1815,156.252,0
2284.416119834,1.030731667324072,0.0484443883642313,540.1814,156.2495,0
2284.423064419,1.0078668458157718,0.0473697417533412,540.18,156.2491,0
2284.430009004,1.01226661799504,0.0475765310457668,540.18,156.2508,0
2284.43695359,1.038389937959959,0.048804327084118,540.1801,156.2496,0
2284.443898175,1.016070417299649,0.0477553096130835,540.1797,156.2499,0
2284.45084276,1.0271639746666823,0.048276706809334,540.1803,156.2497,0
2284.457787345,1.0178232030465348,0.0478376905431871,540.1806,156.2503,0
2284.46473193,1.0118249288617376,0.0475557716565016,540.1805,156.2515,0
2284.471676515,1.019612734909496,0.0479217985407463,540.18,156.2483,0
2284.4786211,0.990843040099961,0.0465696228846981,540.1801,156.2503,0
2284.485565685,1.0003751871410878,0.0470176337956311,540.1797,156.2508,0
2284.49251027,0.9840729431453604,0.0462514283278319,540.1806,156.2483,0
2284.499454855,0.9863321539562526,0.0463576112359438,540.1803,156.2511,0
2284.50639944,0.9687160585161232,0.0455296547502577,540.1808,156.2488,0
2284.513344025,0.9776178602111844,0.0459480394299256,540.1789,156.2498,0
