TIME	PSF_FLUX_NORM	PSF_EFLUX	X_POSITION	Y_POSITION	DQUALITY
2282.707750465	0.9838416207546367	0.04624055617546792	540.1845	156.2486	0
2282.714695061	0.9782351574044386	0.04597705239800861	540.1848	156.2499	0
2282.721639658	0.9723812213473594	0.04570191740332589	540.1859	156.2506	0
2282.728584253	0.982709945050667	0.04618736741738135	540.1861	156.2501	0
2282.735528849	1.0080403190823073	0.047377894996868446	540.1855	156.2504	0
2282.742473445	1.0033330613495657	0.047156653883429586	540.1855	156.2503	0
2282.749418041	1.0047741170977007	0.047224383503591934	540.1859	156.2508	0
2282.756362637	1.0141557635664902	0.04766532088762504	540.1853	156.2493	0
2282.763307232	1.003743290226471	0.04717593464064413	540.1869	156.2514	0
2282.770251828	0.9915836636416749	0.04660443219115872	540.185	156.2481	0
2282.777196424	0.9846895185848306	0.046280407373487036	540.185	156.2526	0
2282.78414102	0.9724269694782249	0.04570406756547657	540.1849	156.2494	0
2282.791085615	0.9677597225832015	0.04548470696141047	540.1852	156.2488	0
2282.798030211	0.9367744803273826	0.04402840057538698	540.1853	156.2525	0
2282.804974806	0.9486052570890129	0.044584447083183605	540.1857	156.2512	0
2282.811919402	0.9525307203766286	0.04476894385770154	540.1858	156.249	0
2282.818863997	0.9715443335840708	0.04566258367845133	540.1848	156.2507	0
2282.825808593	0.9997313408706668	0.04698737302092134	540.1866	156.2512	0
2282.832753188	0.9860453539962797	0.046344131637825144	540.1854	156.2494	0
2282.839697783	0.9952056733911536	0.04677466664938422	540.1859	156.2503	0
2282.846642379	1.0230537112037141	0.04808352442657456	540.1848	156.2506	0
2282.853586974	1.018296987924678	0.04785995843245986	540.1853	156.2509	0
2282.860531569	1.0237867655562851	0.0481179779811454	540.1847	156.2502	0
2282.867476164	1.0342010804342159	0.048607450780408144	540.1844	156.2507	0
2282.874420759	1.009735894815646	0.04745758705633536	540.1854	156.2505	0
2282.881365355	0.9932690133261198	0.04668364362632763	540.184	156.2501	0
2282.88830995	0.994856686345498	0.046758264258238404	540.1859	156.2501	0
2282.895254545	0.9991744753771286	0.046961200342725044	540.1847	156.2493	0
2282.90219914	0.9869243292346572	0.04638544347402889	540.1856	156.2508	0
2282.909143735	0.981080471545755	0.04611078216265048	540.1862	156.2516	0
2282.91608833	0.9786804458396996	0.04599798095446588	540.185	156.2499	0
2282.923032924	0.9905505766677603	0.046555877103384734	540.1858	156.2498	0
2282.929977519	0.988845321578275	0.04647573011417892	540.1842	156.2517	0
2282.936922114	1.0009521831732204	0.04704475260914136	540.1861	156.2509	0
2282.943866709	1.0046138544580365	0.047216851159527715	540.1843	156.25	0
2282.950811304	1.0103533717872184	0.04748660847399926	540.1851	156.2508	0
2282.957755898	1.0120522602735857	0.04756645623285853	540.1842	156.2499	0
2282.964700493	1.01169812042734	0.047549811660084984	540.1849	156.2501	0
2282.971645088	1.0136358709781659	0.0476408859359738	540.1836	156.2507	0
2282.978589682	0.9903296621550997	0.046545494121289686	540.1859	156.2498	0
2282.985534277	0.9877706351799895	0.04642521985345951	540.1849	156.2508	0
2282.992478871	0.9661619440323995	0.045409611369522776	540.1859	156.2498	0
2282.999423466	0.9629103418622178	0.045256786067524236	540.1847	156.2497	0
2283.00636806	0.9622081323778855	0.04522378222176062	540.1856	156.2526	0
2283.013312655	0.9662556605817935	0.04541401604734429	540.1847	156.2513	0
2283.020257249	0.9807748555066528	0.04609641820881268	540.1851	156.2506	0
2283.027201843	0.9758672764595364	0.04586576199359821	540.185	156.2506	0
2283.034146438	0.960014355211489	0.04512067469493999	540.1841	156.2505	0
2283.041091032	0.9738716672819216	0.045771968362250316	540.1848	156.2508	0
2283.048035626	0.9965951909147703	0.046839973972994206	540.1841	156.2503	0
2283.05498022	0.9850326437343664	0.04629653425551522	540.1854	156.2507	0
2283.061924814	0.9898183826293967	0.046521463983581646	540.1852	156.249	0
2283.068869408	1.0062191424511495	0.04729229969520403	540.1857	156.2518	0
2283.075814002	1.0085739973133783	0.047402977873728776	540.1847	156.2487	0
2283.082758596	1.0025752590400976	0.047121037174884584	540.1841	156.2514	0
2283.08970319	0.9900285052688591	0.04653133974763638	540.1857	156.2524	0
2283.096647784	0.9864213673356245	0.04636180426477435	540.185	156.2509	0
2283.103592378	0.9678339205413957	0.0454881942654456	540.1836	156.2499	0
2283.110536972	0.9562843471939412	0.04494536431811524	540.1855	156.2507	0
2283.117481565	0.9778972732356094	0.04596117184207364	540.1837	156.2499	0
2283.124426159	0.982024337746866	0.0461551438741027	540.1846	156.2511	0
2283.131370753	0.987112981054128	0.04639431010954402	540.185	156.2507	0
2283.138315346	0.9789945703447782	0.04601274480620458	540.1836	156.2508	0
2283.14525994	1.001604537086686	0.04707541324307424	540.1858	156.2502	0
2283.152204534	0.9910556166037967	0.046579613980378444	540.1844	156.25	0
2283.159149127	1.0112313827951207	0.04752787499137067	540.1856	156.2524	0
2283.166093721	1.011632607100962	0.047546732533745216	540.184	156.25	0
2283.173038314	1.016093869607889	0.04775641187157078	540.185	156.2507	0
2283.179982907	1.0064358520257652	0.047302485045210965	540.1849	156.2492	0
2283.186927501	0.9937211817155268	0.04670489554062976	540.1849	156.2513	0
2283.193872094	0.9803504920377677	0.046076473125775085	540.1852	156.2499	0
2283.200816688	0.974354849736401	0.04579467793761084	540.184	156.2506	0
2283.207761281	0.9536509179433832	0.04482159314333901	540.1839	156.2506	0
2283.214705874	0.9385386264900396	0.044111315445031864	540.1844	156.2514	0
2283.221650467	0.960287038820069	0.045133490824543245	540.1838	156.2505	0
2283.22859506	0.95557507930874	0.04491202872751078	540.1855	156.2516	0
2283.235539653	0.9640427460978237	0.04531000906659771	540.1846	156.2501	0
2283.242484246	0.9470100919413021	0.0445094743212412	540.184	156.2508	0
2283.249428839	0.9571732196031051	0.04498714132134594	540.184	156.2503	0
2283.256373432	0.9501819303087006	0.04465855072450893	540.1842	156.2518	0
2283.263318025	0.9517056227099511	0.0447301642673677	540.1847	156.2505	0
2283.270262618	0.9588001364030201	0.045063606410941946	540.1843	156.2513	0
2283.277207211	0.9819450725082478	0.04615141840788765	540.1837	156.2497	0
2283.284151804	0.9749004147391941	0.04582031949274212	540.1844	156.2513	0
2283.291096396	0.9832519109782939	0.04621283981597981	540.1836	156.2499	0
